"","GCI.total.c","GCI.PP.total.c","SexDes.total.a","GMSEX.total.a","SCS.total.a","SCS.total.c","CS.total.a","CS.total.c","BFI.extraversion.c","BFI.agreeable.c","BFI.conscientious.c","BFI.negative.c","BFI.open.c","AnxAttch.c","AvoAttch.c","Narc.c","Gender","d_men","d_women","GCI_1","GCI_2","GCI_3","GCI_4","GCI_5","GCI_6","SCS_1","SCS_2_R","SCS_3","SCS_4_R","SCS_5","SCS_6","BFI_1","BFI_2_R","BFI_3_R","BFI_4","BFI_5","BFI_6","BFI_7_R","BFI_8_R","BFI_9_R","BFI_10_R","BFI_11","BFI_12","GMSEX_1","GMSEX_2","GMSEX_3","GMSEX_4","GMSEX_5","SexDes_1","SexDes_2"
"26",-1.95641646489104,5.92009685230024,3,5.8,1.33333333333333,-8.51089588377724,7.8,-3.6997578692494,-10.0024213075061,-2.09685230024213,-2.27118644067797,5.18886198547216,-13.2203389830508,0.331719128329297,-2.04600484261501,-4.5544794188862,-1,0,1,3,4,3,4,4,2,2,1,0,0,2,3,2,1,1,1,2,2,2,2,3,2,4,4,6,6,6,5,6,3,3
"27",3.04358353510896,2.92009685230024,4,7,3.5,4.48910411622276,10.3,21.3002421307506,3.99757869249395,7.90314769975787,2.72881355932203,-6.81113801452784,11.7796610169492,-9.6682808716707,-7.04600484261501,3.4455205811138,-1,0,1,4,2,4,5,5,5,3,3,3,4,4,4,2,4,4,4,4,4,3,3,2,2,4,4,7,7,7,7,7,4,4
"28",5.04358353510896,4.92009685230024,5,7,3.5,4.48910411622276,8.8,6.3002421307506,13.9975786924939,-5.09685230024213,-1.27118644067797,-14.8111380145278,10.7796610169492,-2.6682808716707,-8.04600484261501,8.4455205811138,-1,0,1,4,4,4,5,5,5,4,3,3,4,3,4,5,4,4,5,5,4,4,3,5,2,4,5,7,7,7,7,7,5,5
"29",2.04358353510896,4.92009685230024,3.5,7,3.66666666666667,5.48910411622276,10.3,21.3002421307506,-5.00242130750605,3.90314769975787,0.728813559322035,7.18886198547216,14.7796610169492,-5.6682808716707,-8.04600484261501,-5.5544794188862,-1,0,1,3,2,4,5,5,5,4,4,4,2,4,4,2,2,2,2,3,2,3,2,4,3,3,3,7,7,7,7,7,4,3
"30",-1.95641646489104,0.920096852300244,3,6,2.66666666666667,-0.510895883777241,8.8,6.3002421307506,1.99757869249395,1.90314769975787,2.72881355932203,-3.81113801452784,-6.22033898305084,-2.6682808716707,-4.04600484261501,5.4455205811138,-1,0,1,2,3,3,4,4,4,3,3,3,2,2,3,4,2,2,4,2,3,3,3,4,4,3,4,6,6,6,6,6,3,3
"31",0.043583535108958,6.92009685230024,2.5,4.2,2.16666666666667,-3.51089588377724,9.7,15.3002421307506,-8.00242130750605,0.903147699757866,6.72881355932203,7.18886198547216,11.7796610169492,5.3317191283293,4.95399515738499,5.4455205811138,1,1,0,4,3,3,4,4,4,3,1,2,1,2,4,2,2,2,2,2,2,2,3,2,4,3,2,3,5,5,3,5,2,3
"32",-1.95641646489104,3.92009685230024,3.5,3,3.33333333333333,3.48910411622276,8.3,1.3002421307506,-9.00242130750605,1.90314769975787,-5.27118644067797,4.18886198547216,11.7796610169492,1.3317191283293,0.953995157384988,-3.5544794188862,1,1,0,3,2,3,4,4,4,3,3,4,3,3,4,2,2,1,3,2,2,2,2,4,2,2,3,1,4,4,2,4,3,4
"33",-6.95641646489104,0.920096852300244,3.5,6,3,1.48910411622276,7.3,-8.6997578692494,-11.0024213075061,-9.09685230024213,0.728813559322035,-1.81113801452784,-9.22033898305084,1.3317191283293,3.95399515738499,-11.5544794188862,-1,0,1,1,1,1,4,4,4,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,2,2,2,4,4,NA,NA,NA,NA,NA,NA,NA
"34",4.04358353510896,4.92009685230024,4,6,2.83333333333333,0.489104116222759,7.5,-6.6997578692494,4.99757869249395,1.90314769975787,-5.27118644067797,-1.81113801452784,-9.22033898305084,-1.6682808716707,-0.0460048426150124,-0.554479418886199,-1,0,1,3,4,4,5,5,5,3,2,3,3,2,4,4,3,4,4,3,3,4,2,5,2,3,4,6,6,7,6,5,4,4
"35",-0.956416464891042,5.92009685230024,4.5,7,3.66666666666667,5.48910411622276,8.7,5.3002421307506,2.99757869249395,-2.09685230024213,-2.27118644067797,16.1888619854722,12.7796610169492,5.3317191283293,-0.0460048426150124,-0.554479418886199,-1,0,1,4,2,4,4,3,4,4,3,4,4,3,4,3,4,2,2,4,3,4,5,4,2,3,3,7,7,7,7,7,5,4
"36",-6.95641646489104,-1.07990314769976,3,7,2.66666666666667,-0.510895883777241,7.7,-4.6997578692494,-10.0024213075061,-4.09685230024213,-1.27118644067797,7.18886198547216,-0.220338983050844,-0.668280871670703,-8.04600484261501,-8.5544794188862,-1,0,1,2,2,2,2,3,4,3,1,3,2,3,4,2,1,1,1,2,2,1,2,4,4,3,3,7,7,7,7,7,3,3
"37",-5.95641646489104,1.92009685230024,1,4.4,1.83333333333333,-5.51089588377724,7.3,-8.6997578692494,-6.00242130750605,-6.09685230024213,-2.27118644067797,9.18886198547216,0.779661016949156,-0.668280871670703,4.95399515738499,-3.5544794188862,-1,0,1,2,2,2,3,3,4,3,1,1,1,2,3,1,2,2,2,3,2,2,2,3,4,3,4,4,5,5,3,5,1,1
"38",3.04358353510896,4.92009685230024,5,7,2.66666666666667,-0.510895883777241,8,-1.6997578692494,11.9975786924939,4.90314769975787,6.72881355932203,-14.8111380145278,2.77966101694916,-2.6682808716707,-8.04600484261501,5.4455205811138,-1,0,1,4,4,4,5,4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,5,5
"39",0.043583535108958,-3.07990314769976,5,7,4,7.48910411622276,8.9,7.3002421307506,3.99757869249395,-5.09685230024213,-0.271186440677965,-3.81113801452784,-7.22033898305084,3.3317191283293,-0.0460048426150124,2.4455205811138,1,1,0,3,3,4,4,4,4,4,4,4,4,4,4,3,2,2,4,4,4,4,3,3,3,4,4,7,7,7,7,7,5,5
"40",-6.95641646489104,-7.07990314769976,2,4.8,2.66666666666667,-0.510895883777241,8.8,6.3002421307506,-12.0024213075061,-9.09685230024213,-4.27118644067797,11.1888619854722,-0.220338983050844,8.3317191283293,4.95399515738499,-3.5544794188862,-1,0,1,4,2,2,3,2,2,3,2,3,2,3,3,1,1,1,3,2,2,2,1,2,4,2,3,5,4,5,5,5,2,2
"41",0.043583535108958,2.92009685230024,4,7,3.33333333333333,3.48910411622276,8.5,3.3002421307506,-1.00242130750605,-3.09685230024213,3.72881355932203,2.18886198547216,9.77966101694916,-0.668280871670703,-2.04600484261501,-0.554479418886199,-1,0,1,4,2,4,4,4,4,3,3,4,3,3,4,2,2,1,3,2,3,4,2,4,5,4,3,7,7,7,7,7,4,4
"42",0.043583535108958,-10.0799031476998,4,7,2.33333333333333,-2.51089588377724,4.2,-39.6997578692494,11.9975786924939,-5.09685230024213,2.72881355932203,12.1888619854722,5.77966101694916,-14.6682808716707,14.953995157385,2.4455205811138,-1,0,1,4,4,4,4,3,3,3,1,3,2,3,2,3,3,3,4,4,4,4,5,5,5,4,4,7,7,7,7,7,4,4
"43",5.04358353510896,6.92009685230024,3.5,6,3.33333333333333,3.48910411622276,9.3,11.3002421307506,9.99757869249395,8.90314769975787,1.72881355932203,-9.81113801452784,-1.22033898305084,-4.6682808716707,-8.04600484261501,3.4455205811138,1,1,0,4,4,4,5,5,5,4,2,4,4,2,4,5,2,2,4,4,4,4,3,4,4,5,5,NA,NA,NA,NA,NA,NA,NA
"44",1.04358353510896,-2.07990314769976,4,4.8,3.16666666666667,2.48910411622276,8.6,4.3002421307506,-2.00242130750605,-3.09685230024213,-1.27118644067797,2.18886198547216,2.77966101694916,-9.6682808716707,-1.04600484261501,5.4455205811138,1,1,0,4,3,4,4,4,4,3,3,3,3,3,4,3,2,2,4,3,4,4,2,2,2,3,3,4,5,5,5,5,4,4
